
Country Name En,Unit Name,2021,2021 Flag,2020,2020 Flag,2019,2019 Flag,2018,2018 Flag,2017,2017 Flag,2016,2016 Flag,2015,2015 Flag,2014,2014 Flag,2013,2013 Flag,2012,2012 Flag,2011,2011 Flag,2010,2010 Flag,2009,2009 Flag,2008,2008 Flag,2007,2007 Flag,2006,2006 Flag,2005,2005 Flag,2004,2004 Flag,2003,2003 Flag,2002,2002 Flag,2001,2001 Flag,2000,2000 Flag,1999,1999 Flag,1998,1998 Flag,1997,1997 Flag,1996,1996 Flag,1995,1995 Flag,1994,1994 Flag,1993,1993 Flag,1992,1992 Flag,1991,1991 Flag,1990,1990 Flag,1989,1989 Flag,1988,1988 Flag,1987,1987 Flag,1986,1986 Flag,1985,1985 Flag,1984,1984 Flag,1983,1983 Flag,1982,1982 Flag,1981,1981 Flag,1980,1980 Flag,1979,1979 Flag,1978,1978 Flag,1977,1977 Flag,1976,1976 Flag,1975,1975 Flag,1974,1974 Flag,1973,1973 Flag,1972,1972 Flag,1971,1971 Flag,1970,1970 Flag,1969,1969 Flag,1968,1968 Flag,1967,1967 Flag,1966,1966 Flag,1965,1965 Flag,1964,1964 Flag,1963,1963 Flag,1962,1962 Flag,1961,1961 Flag,1960,1960 Flag,1959,1959 Flag,1958,1958 Flag,1957,1957 Flag,1956,1956 Flag,1955,1955 Flag,1954,1954 Flag,1953,1953 Flag,1952,1952 Flag,1951,1951 Flag,1950,1950 Flag
Ireland,Tonnes - live weight,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,10,,624,,570,,685,,715,,804,,541,,631,,404,,567,,1079,,1799,,1239,,1845,,1575,,1037,,1400,,803,,638,,911,,1088,,1221,,1321,,1540,,2267,,2103,,1900,,1800,,1500,,1900,,1700,,1400,,1500,,1100,,1300,,1400,,1300,,1300,,600,,600,,800,,800,,900,,700,,600,,900,,900,,900,,1200,,1000,
Isle of Man,Tonnes - live weight,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,1,,0,N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latvia,Tonnes - live weight,10,,14,,11,,8,,3,,5,,4,,4,,4,,5,,4,,4,,9,,5,,20,,16,,20,,31,,49,,110,,135,,150,,166,,125,,169,,151,,139,,130,,243,,268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,Tonnes - live weight,1.454,,0.984,,2.892,,2,,0,N,0,N,0,N,1,,0,N,1,,0,N,1,,1,,1,,1,,1,,2,,2,,3,,11,,4,,6,,6,,5,,4,,10,,2,,5,,15,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands (Kingdom of the),Tonnes - live weight,,,0,,0,N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,N,0,N,0,,1,,1,,1,,2,,1,,1,,0,N,1,,0,N,0,N,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,N,0,,0,,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,,,,,,,,,,,,,,,,
Norway,Tonnes - live weight,12,,15.52,,15.687,,20,,9,,6,,4,,216.2,,195,,262,,314,,262.629,,286.953,,388.275,,434,,525,,475,,477,,606,,602,,708,,631,,500,,422,,402,,526,,520,,649,,571,,520,,407,,417,,507,,859,,1049,,485,,1326,,941,,1275,,1088,,1380,,1563,,1528,,817,,1184,,1099,,1497,,1540,,1929,,1812,,1530,,1150,,1495,,1723,,1773,,1596,,1698,,1899,,1800,,1700,,1300,,1200,,1200,,1200,,1400,,1200,,1300,,1200,,1100,,1000,,900,,700,
Poland,Tonnes - live weight,90,,43,,40,,51,,40,,21,,24,,20,,31,,32,,34,,48,,49,,43,,91,,107,,110,,82,,176,,188,,156,,125,,118,,114,,110,,125,,133,,184,,191,,462,,350,,568,,163,,300,,401,,222,,280,,233,,196,,179,,100,,70,,85,,87,,80,,103,,88,,119,,100,,100,,100,,100,,100,,200,,100,,100,,200,,400,,300,,300,,100,,300,,200,,200,,200,,200,,0,N,100,,100,,0,,0,,0,
Portugal,Tonnes - live weight,0.12,,0.25,,0,N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,N,0,,0,,0,N,4,,0,,0,,0,N,0,N,0,,0,,0,,0,,0,,1,,0,,0,,0,,0,,0,,,,2,,0,N,0,,0,,0,N,0,N,6,,0,N,0,N,0,N,0,N,0,N,17,,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,,,,,,
Russian Federation,Tonnes - live weight,19,,16,,22,,36,,13,,24,,34,,32,,37,,32,,31,,32,,62,,79,,55,,72,,85,,75,,80,,91,,109,,91,,72,,91,,116,,117,,124,,120,,114,,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,Tonnes - live weight,0.019,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Pierre and Miquelon,Tonnes - live weight,0.35,,0,,0,,1,,1,,1,,1,,2,,2,,0,,2,,1,,2,,2,,1,,2,,2,,2,,2,,1,,1,,1,,1,,1,,1,,1,,0,N,3,,2,,0,N,0,N,0,N,1,,1,,0,N,6,,0,N,0,N,0,N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,Tonnes - live weight,140.461,,147.369,,171,,194,,157,,195,,187,,195,,193,,245,,359,,300,,321,,253,,317,,336,,516,,678,,214,,288,,356,,478,,399,,613,,668,,761,,646,,729,,971,,992,,912,,1258,,1221,,824,,991,,950,,1009,,676,,574,,599,,482,,599,,570,,514,,619,,623,,644,,665,,700,,400,,400,,600,,700,,700,,500,,500,,600,,700,,400,,400,,600,,500,,400,,300,,400,,600,,300,,500,,400,,800,,1100,,1400,
United Kingdom,Tonnes - live weight,0,,0,,0,,0.094,N,0.333,N,3.799,,0.109,N,0.163,N,4,,5,,8,,0,N,0,N,5,,8,,7,,2,,2,,2,,31,,37,,33,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,114,,56,,112,,729,,831,,1045,,597,,1114,,892,,734,,1118,,1242,,1123,,1779,,1826,,2299,,2087,,1784,,1856,,2000,,1600,,2400,,1800,,1800,,2600,,1900,,2500,,1500,,1600,,1600,,1800,,1700,,1400,,1800,,1700,,1500,,1700,,1600,,1500,
United States of America,Tonnes - live weight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,1,,0,N,0,N,0,N,0,N,0,N,0,N,1,,0,N
Un. Sov. Soc. Rep.,Tonnes - live weight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,942,,824,,834,,555,,650,,597,,540,,592,,436,,311,,734,,966,,630,,170,,344,,215,,1345,,1926,,1100,,600,,600,,600,,500,,1000,,1000,,800,,800,,900,,700,,900,,1000,,1200,,900,,1300,,1400,,1200,,1400,,1900,,1300,,1200,,900,,1500,
